Name,"Flour, white, all purpose, per lb. (453.6 gm)","Rice, white, long grain, uncooked, per lb. (453.6 gm)","Spaghetti and macaroni, per lb. (453.6 gm)","Bread, white, pan, per lb. (453.6 gm)","Bread, French, per lb. (453.6 gm)","Bread, whole wheat, pan, per lb. (453.6 gm)","Cookies, chocolate chip, per lb. (453.6 gm)","Crackers, soda, salted, per lb. (453.6 gm)","Ground chuck, 100% beef, per lb. (453.6 gm)","Ground beef, 100% beef, per lb. (453.6 gm)","Ground beef, lean and extra lean, per lb. (453.6 gm)","Chuck roast, USDA Choice, bone-in, per lb. (453.6 gm)","Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)","Round roast, USDA Choice, boneless, per lb. (453.6 gm)","Round roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Rib roast, USDA Choice, bone-in, per lb. (453.6 gm)","Steak, T-Bone, USDA Choice, bone-in, per lb. (453.6 gm)","Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm)","Short ribs, any primal source, bone-in, per lb. (453.6 gm)","Beef for stew, boneless, per lb. (453.6 gm)","Steak, round, USDA Choice, boneless, per lb. (453.6 gm)","Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Steak, sirloin, USDA Choice, bone-in, per lb. (453.6 gm)","Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)","Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)","Bacon, sliced, per lb. (453.6 gm)","Chops, center cut, bone-in, per lb. (453.6 gm)","Chops, boneless, per lb. (453.6 gm)","Ham, rump or shank half, bone-in, smoked,per lb. (453.6 gm)","Ham, boneless, excluding canned, per lb. (453.6 gm)","Ham, canned, 3 or 5 lbs, per lb. (453.6 gm)","Shoulder picnic, bone-in, smoked, per lb. (453.6 gm)","Sausage, fresh, loose, per lb. (453.6 gm)","Frankfurters, all meat or all beef, per lb. (453.6 gm)","Bologna, all beef or mixed, per lb. (453.6 gm)","Lamb and mutton, bone-in, per lb. (453.6 gm)","Chicken, fresh, whole, per lb. (453.6 gm)","Chicken breast, bone-in, per lb. (453.6 gm)","Chicken legs, bone-in, per lb. (453.6 gm)","Turkey, frozen, whole, per lb. (453.6 gm)","Tuna, light, chunk, per lb. (453.6 gm)","Eggs, grade A, large, per doz.","Eggs, grade AA, large, per doz.","Milk, fresh, whole, fortified, per 1/2 gal. (1.9 lit)","Milk, fresh, whole, fortified, per gal. (3.8 lit)","Milk, fresh, low fat, per 1/2 gal. (1.9 lit)","Milk, fresh, low fat, per gal. (3.8 lit)","Butter, salted, grade AA, stick, per lb. (453.6 gm)","Yogurt, natural, fruit flavored, per 8 oz. (226.8 gm)","American processed cheese, per lb. (453.6 gm)","Cheddar cheese, natural, per lb. (453.6 gm)","Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)","Apples, Red Delicious, per lb. (453.6 gm)","Bananas, per lb. (453.6 gm)","Oranges, Navel, per lb. (453.6 gm)","Oranges, Valencia, per lb. (453.6 gm)","Grapefruit, per lb. (453.6 gm)","Lemons, per lb. (453.6 gm)","Pears, Anjou, per lb. (453.6 gm)","Peaches, per lb. (453.6 gm)","Strawberries, dry pint, per 12 oz. (340.2 gm)","Grapes, Thompson Seedless, per lb. (453.6 gm)","Cherries, per lb. (453.6 gm)","Potatoes, white, per lb. (453.6 gm)","Lettuce, iceberg, per lb. (453.6 gm)","Tomatoes, field grown, per lb. (453.6 gm)","Cabbage, per lb. (453.6 gm)","Celery, per lb. (453.6 gm)","Carrots, short trimmed and topped, per lb. (453.6 gm)","Onions, dry yellow, per lb. (453.6 gm)","Peppers, sweet, per lb. (453.6 gm)","Cucumbers, per lb. (453.6 gm)","Broccoli, per lb. (453.6 gm)","Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)","Apple Sauce, any variety, all sizes, per lb. (453.6 gm)","Peaches, any variety, all sizes, per lb. (453.6 gm)","Potatoes, frozen, French fried, per lb. (453.6 gm)","Corn, canned, any style, all sizes, per lb. (453.6 gm)","Tomatoes, canned, any type, all sizes,  per lb. (453.6 gm)","Beans, dried, any type, all sizes, per lb. (453.6 gm)","Sugar, white, all sizes, per lb. (453.6 gm)","Sugar, white, 33-80 oz. pkg, per lb. (453.6 gm)","Margarine, stick, per lb. (453.6 gm)","Margarine, soft, tubs, per lb. (453.6 gm)","Shortening, vegetable oil blends, per lb. (453.6 gm)","Peanut butter, creamy, all sizes, per lb. (453.6 gm)","Cola, nondiet, cans, 72 oz. 6 pk., per 16 oz. (473.2 ml)","Cola, nondiet, per 2 liters (67.6 oz)","Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)","Coffee, instant, plain, regular, all sizes, per lb. (453.6 gm)","Potato chips, per 16 oz.","Malt beverages, all types, all sizes, any origin, per 16 oz. (473.2 ml)","Vodka, all types, all sizes, any origin, per 1 liter (33.8 oz)","Wine, red and white table, all sizes, any origin, per 1 liter (33.8 oz)",Fuel oil #2 per gallon (3.785 liters),Utility (piped) gas - 40 therms,Electricity per KWH,Utility (piped) gas - 100 therms,Utility (piped) gas per therm,Electricity per 500 KWH,"Gasoline, leaded regular (cost per gallon/3.8 liters)","Gasoline, unleaded regular, per gallon/3.785 liters","Gasoline, unleaded midgrade, per gallon/3.785 liters","Gasoline, unleaded premium, per gallon/3.785 liters","Automotive diesel fuel, per gallon/3.785 liters","Gasoline, all types, per gallon/3.785 liters","All uncooked ground beef, per lb. (453.6 gm)","All Uncooked Beef Roasts, per lb. (453.6 gm)","All Uncooked Beef Steaks, per lb. (453.6 gm)","All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)","All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)","All Pork Chops, per lb. (453.6 gm)","All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)","Chicken breast, boneless, per lb. (453.6 gm)","Lettuce, romaine, per lb. (453.6 gm)"
"Jan
1990",0.253,0.501,0.871,0.689,,,2.506,,1.907,1.557,,2.029,,2.486,2.907,,4.292,5.109,,,,3.303,,3.584,,3.818,1.966,3.025,,,,2.72,1.138,2.118,2.164,2.423,,0.882,2.018,1.125,0.989,2.05,1.223,,1.42,,,,2.11,,,,2.719,0.601,0.429,0.501,,0.532,0.925,0.675,,,,,0.333,0.605,1.735,0.61,0.604,0.356,0.333,1.551,0.776,,1.817,,,0.809,,,,0.418,0.395,0.856,1.175,0.911,1.829,,,2.917,,2.866,,,,1.259,25.505,0.081,57.48,0.599,41.663,1.006,1.042,,1.23,,1.09,,,,,,,,,
"Feb
1990",0.249,0.476,0.864,0.701,,,2.587,,1.952,1.572,,2.122,,2.505,2.89,,4.288,4.559,,,,3.314,,3.554,,3.851,2.009,2.959,,,,2.767,1.184,2.198,2.219,2.438,,0.896,2.031,1.168,0.983,2.045,1.041,,1.451,,,,2.067,,,,2.656,0.632,0.492,0.58,,0.579,0.933,0.736,1.313,1.638,1.38,,0.355,0.511,2.361,0.543,0.597,0.381,0.342,1.776,0.756,,1.98,,,0.841,,,,0.419,0.396,0.819,1.198,0.904,1.877,,,2.965,,2.947,,,,1.023,25.524,0.081,57.449,0.603,42.004,1.011,1.037,,1.227,,1.086,,,,,,,,,
"Mar
1990",0.252,0.502,0.849,0.68,,,2.615,,1.941,1.571,,2.052,,2.437,2.932,,4.369,4.709,,,,3.266,,3.518,,3.926,1.991,3.006,,,,2.747,1.175,2.155,2.229,2.446,,0.928,2.104,1.223,0.994,2.05,1.111,,1.428,,,,2.049,,,,2.569,0.652,0.5,0.57,,0.626,1.015,0.757,1.284,1.338,1.144,,0.387,0.48,1.765,0.511,0.497,0.411,0.412,1.595,0.623,,2.15,,,0.818,,,,0.427,0.401,0.832,1.205,0.894,1.856,,,2.891,,2.962,,,,0.987,25.417,0.081,57.098,0.596,41.87,0.999,1.023,,1.218,,1.076,,,,,,,,,
"Apr
1990",0.251,0.497,0.864,0.686,,,2.623,,1.969,1.593,,2.103,,2.466,2.915,,4.329,4.779,,,,3.292,,3.796,,4.072,1.979,3.155,,,,2.682,1.209,2.211,2.187,2.472,,0.897,2.065,1.159,0.971,2.045,1.092,,1.424,,,,2.001,,,,2.589,0.65,0.481,0.56,,0.69,1.127,0.787,,1.109,1.108,,0.434,0.5,0.732,0.401,0.416,0.411,0.465,0.893,0.674,,2.214,,,0.833,,,,0.428,0.399,0.827,1.184,0.895,1.851,,,2.885,,2.984,,,,0.968,24.488,0.082,54.823,0.57,42.052,1.027,1.044,,1.233,,1.096,,,,,,,,,
"May
1990",0.254,0.496,0.86,0.678,,,2.635,,1.974,1.577,,2.116,,2.468,2.947,,4.439,4.956,,,,3.318,,3.609,,4.193,2.044,3.198,,,,2.772,1.235,2.288,2.184,2.472,,0.902,2.099,1.182,0.998,2.033,0.94,,1.409,,,,2.008,,,,2.585,0.653,0.462,0.578,,0.737,1.101,0.783,,0.781,1.455,,0.427,0.513,0.697,0.356,0.458,0.387,0.45,0.782,0.555,,2.241,,,0.832,,,,0.43,0.403,0.836,1.19,0.889,1.861,,,2.938,,2.94,,,,0.952,25.626,0.082,56.538,0.581,42.061,1.044,1.061,,1.248,,1.114,,,,,,,,,
"Jun
1990",0.259,0.494,0.843,0.687,,,2.636,,1.971,1.593,,2.069,,2.432,2.922,,4.541,5.008,,,,3.345,,3.785,,4.189,2.147,3.438,,,,2.845,1.277,2.406,2.31,2.543,,0.928,2.094,1.23,0.998,2.04,0.93,,1.399,,,,1.962,,,,2.586,0.697,0.447,0.621,,0.778,1.103,0.814,0.811,0.987,1.369,,0.422,0.441,0.792,0.368,0.519,0.38,0.413,0.864,0.514,,2.276,,,0.831,,,,0.427,0.4,0.823,1.192,0.913,1.872,,,2.977,,2.951,,,,0.909,25.623,0.088,56.379,0.588,43.665,1.077,1.088,,1.271,,1.14,,,,,,,,,
"Jul
1990",0.26,0.494,0.86,0.685,,,2.58,,1.953,1.581,,2.066,,2.417,2.925,,4.618,4.99,,,,3.293,,3.734,,4.226,2.21,3.473,,,,2.84,1.299,2.487,2.309,2.52,,0.917,2.138,1.233,1.008,2.049,0.899,,1.421,,,,1.97,,,,2.576,0.75,0.529,,0.575,0.828,1.179,,0.895,0.965,1.238,1.754,0.405,0.569,0.777,0.352,0.484,0.387,0.388,1.021,0.607,,2.289,,,0.845,,,,0.427,0.4,0.836,1.214,0.934,1.882,,,3.054,,2.945,,,,0.88,25.178,0.087,55.144,0.576,43.531,1.089,1.084,,1.272,,1.139,,,,,,,,,
"Aug
1990",0.255,0.497,0.842,0.713,,,2.682,,1.972,1.576,,2.04,,2.488,2.918,,4.567,4.907,,,,3.315,,3.73,,4.218,2.243,3.508,,,,,1.324,2.499,2.283,2.562,,0.912,2.063,1.232,1.014,2.051,0.954,,1.438,,,,1.957,,,,2.634,0.832,0.463,,0.571,0.755,1.155,,0.924,1.081,0.993,,0.381,0.562,0.765,0.331,0.448,0.373,0.356,0.99,0.515,,2.227,,,0.887,,,,0.433,0.408,0.844,1.234,0.934,1.879,,,3.027,,2.949,,,,0.998,25.339,0.087,55.289,0.578,43.484,1.198,1.19,,1.369,,1.246,,,,,,,,,
"Sep
1990",0.249,0.505,0.856,0.7,,,2.663,,1.991,1.594,,2.071,,2.468,2.892,,4.652,5.012,,,,3.278,,3.683,,4.3,2.176,3.356,,,,,1.35,2.492,2.366,2.496,,0.907,2.112,1.225,1.033,2.096,0.946,,1.434,,,,1.953,,,,2.614,0.877,0.465,,0.561,0.664,1.158,,0.94,1.21,1.064,,0.348,0.646,0.773,0.315,0.469,0.359,0.344,0.704,0.487,,2.262,,,0.829,,,,0.434,0.407,0.858,1.24,0.933,1.861,,,3.025,,2.98,,,,1.165,25.59,0.088,56.152,0.585,43.605,1.297,1.294,,1.467,,1.347,,,,,,,,,
"Oct
1990",0.244,0.497,0.845,0.706,,,2.67,,1.968,1.582,,2.091,,2.51,2.965,,4.655,4.962,,,,3.332,,3.717,,4.251,2.208,3.368,,,,,1.392,2.518,2.372,2.503,,0.883,2.06,1.201,1.056,2.12,1.012,,1.451,,,,1.977,,,,2.613,0.765,0.432,,0.524,0.575,1.145,,,,1.266,,0.322,0.746,0.846,0.324,0.448,0.37,,,0.531,,2.21,,,0.827,,,,0.432,0.404,0.866,,0.936,1.882,,,3.03,,3.032,,,,1.33,25.769,0.083,56.481,0.591,42.296,1.354,1.378,,1.554,,1.431,,,,,,,,,
