Date,corn_it ,wheat_it,soybeans_it ,corn_us,wheat_us ,soybeans_us ,Brent Blend euro/Barrel,M1,M2,3 month,10 year,US/Euro
7-Jan-00,133.4,148.94,185.3,86.9,90.48,180.79,22.62,85,63,174.2,165.2,70.1
14-Jan-00,133.1,149.97,187.73,87.4,93.88,188.21,24.83,80.4,63.1,174.2,167.8,69.8
21-Jan-00,131.76,150.56,195.37,92.8,99.52,193.69,26.92,79.6,62.9,175.8,170.5,68.9
28-Jan-00,130.58,150.67,203.77,99.64,102.13,205.57,26.57,78.8,62.4,179.1,168.3,67.8
4-Feb-00,130.7,150.36,204.27,96.66,99.38,199.5,27.95,78.5,62.2,182.1,165.7,66.6
11-Feb-00,132.26,150.58,204.7,97.51,100.94,199.54,27.93,77.8,62.9,181.8,166.8,67.1
18-Feb-00,132.84,150.47,204.7,97.95,104.56,203.71,28.25,77.4,62.7,183.8,165,67
25-Feb-00,131.56,150.08,205.57,96.98,102.87,198.83,29.24,77.6,62.7,186.1,160.7,67.7
3-Mar-00,131.36,150.08,205.23,97.62,97.76,203.14,31.11,78,62.6,186.1,161,65.7
10-Mar-00,131.18,150.13,206.33,97.77,101.2,202.29,30.4,78.3,63.4,187.7,161,65.5
17-Mar-00,131.52,149.98,210.63,102.07,104.84,208.94,28.55,77.7,63.5,189.1,158.2,65.9
24-Mar-00,133.34,149.98,212.9,97.25,100.5,205.47,26.1,78.5,63.7,190.1,154.7,66
31-Mar-00,135.06,150.49,216.83,96.43,100.24,212.5,25.2,78.7,63.5,189.1,154.4,65.3
7-Apr-00,134.86,152.24,221.13,99.82,99.98,211.97,24.36,80.9,64.2,188.7,149.1,65.4
14-Apr-00,134.46,155.41,220.3,98.94,99.65,209.13,23.3,79.1,64.9,187.7,148.4,65.2
21-Apr-00,134.86,157.6,221.9,101.4,101.81,219.65,25.02,80,65,187.1,151.4,64.3
28-Apr-00,136.64,158.27,225.83,107.25,107.74,224.46,25.76,80,64.4,186.1,154.9,62.8
5-May-00,139.12,159.92,240.4,109.68,109.32,236.19,27.64,79,63.6,190.1,161.2,61.2
12-May-00,143.2,160.54,245.07,106.08,112.52,232.47,31.75,77.4,63.6,196.7,163.7,61.6
19-May-00,143.88,159.92,244.63,105.58,118.94,231.84,32.6,77.8,63.6,194,163.5,61.3
26-May-00,139.28,157.93,248.9,103.26,114.25,220.73,32.88,77.8,63.4,189.7,161.7,62.1
2-Jun-00,137.8,155.71,243.8,96.79,107.93,218.28,31.11,78.2,63.3,185.1,157.7,63.7
9-Jun-00,139.5,157.4,243.5,95.72,102.79,210.53,30.05,78.5,64.1,190.7,154.4,65
16-Jun-00,139.28,150.07,238.3,86.95,100.55,204.84,31.3,77.4,64.1,188.1,152.6,65.3
23-Jun-00,137.54,148.31,238.3,87.52,106.27,207.08,32.72,78,63.9,187.4,153.4,64.6
30-Jun-00,137.48,135.25,238.3,83.53,106.41,197.49,33.3,77.8,63.4,187.7,153.1,64.5
7-Jul-00,139.22,137.57,233.2,79.71,97.15,197.51,32.15,80.2,63.9,192.7,151.4,64.9
14-Jul-00,142.96,138.24,210.92,82.58,97.61,197.8,32.66,78.4,64.4,197.4,152.6,64.2
21-Jul-00,150.92,138.59,185.1,80.12,94.49,197.94,28.82,77.3,64.1,198,153.7,63.4
28-Jul-00,155.56,139.97,198.22,80.11,96.17,193.31,27.87,77.4,63.8,199,152.1,63.6
4-Aug-00,143.72,142.04,167.22,81.19,97.85,194.37,30.59,78.3,63.9,200.3,150.6,62.3
11-Aug-00,143.72,142.04,218.03,80.62,95.01,196.96,31.95,77,64.6,201.3,147.4,61.6
18-Aug-00,143.72,142.04,218.02,80.44,97.83,199.07,33.67,76.8,64.5,201.7,146.1,62
25-Aug-00,128.15,145.43,215,83.46,98.87,202.84,33.68,77.6,64.5,202.3,144.8,61.3
1-Sep-00,129.44,149.4,223.18,92.32,107.94,217.73,37.59,78.2,64.3,203,145.1,61
8-Sep-00,129.36,152.74,198.61,91.71,111.78,223.15,41.51,78.3,65,199.3,144.3,59.6
15-Sep-00,125.56,152.87,228.9,94.37,110.57,213.78,38.04,76.8,65.3,197,145.6,58.7
22-Sep-00,124.5,153.75,226.57,88.23,109.01,210.89,36.48,76.8,65.1,198,148.1,58.4
29-Sep-00,123.06,153.85,226.57,92.64,113.6,213.35,32.49,76.6,64.5,199.7,146.6,60
6-Oct-00,123.16,154,224.5,97.71,120.85,212.36,34.03,78.2,64.9,200.7,147.6,59.5
13-Oct-00,124.2,154.16,225.17,96.06,124.03,206.14,38.7,76.5,65.3,199.7,145.1,58.9
20-Oct-00,127.14,155.08,231.73,101.54,126.29,214,36.16,76.9,65.4,202.3,143.1,57.5
27-Oct-00,126.32,156.13,239.7,103.34,120.62,212.76,37.53,77.3,65,204.6,142.6,56.8
3-Nov-00,125.74,157.18,238.83,98.76,115.43,209.92,34.98,78.3,64.8,205,145.1,58.2
10-Nov-00,125.76,159.12,239.7,100.21,120.21,206.11,37.22,77.1,65.5,206,147.4,58.5
17-Nov-00,127.1,163.1,241,103.43,120.43,219.02,39.17,76.1,65.5,204.6,144.3,58.3
24-Nov-00,130.14,165.73,249.03,107.46,122.29,215.61,39.09,77.3,65.5,204.6,142.3,57.5
1-Dec-00,131.38,165.98,252.8,103.21,118.2,224.63,35.63,78.7,65.5,201.3,140.1,58.7
8-Dec-00,131.32,166.26,250.23,103.9,119.58,225.13,30.2,78.1,66,196.7,135.8,60.3
15-Dec-00,130.82,166.32,251.93,102.76,116.56,219.52,28.33,76.8,66.2,195,133.2,60.1
22-Dec-00,130.72,166.49,253.73,107.48,113.33,218.41,24.06,77.9,66.4,182.5,128.5,61.6
29-Dec-00,130.72,166.49,252.87,110.11,113.72,216.69,24.18,79.9,66.5,187.4,128.5,63.4
5-Jan-01,131.12,166.49,252,103.62,112.31,206.72,25.69,81.6,66.9,177.5,126.2,64.6
12-Jan-01,132.16,166.66,249.47,103.11,114.91,200.56,26.75,78.2,67.2,169.9,128,64.4
19-Jan-01,133.54,166.66,249.03,99.99,117.17,200.23,27.9,77.3,67.2,171.2,130.7,63.9
26-Jan-01,133.34,166.94,249.03,99.62,121.54,199.78,28.67,77.7,66.8,169.2,133.2,63.3
2-Feb-01,132.92,166.89,246.47,95.83,113.47,195.49,30.48,77.7,66.2,162.6,131,63.4
9-Feb-01,132.58,166.49,240.73,101.22,115.88,197.21,32.16,77.5,67,163.6,129.2,63.3
16-Feb-01,132.82,165.72,238.7,101.09,115.71,198.95,29.2,76.1,67.1,163.2,128.7,62.6
23-Feb-01,132.72,164.7,235.67,102.82,118.47,198.22,28.77,77.2,67.2,161.3,129.2,61.9
